"","fips","2010","2014","2016","2018","2020"
"255","08023",0.1992,0.2003,0.1168,0.093,0.0614
"256","08025",0.0031,0.0111,0.0064,0.0038,0.0137
"257","08027",0.0257,0.0115,0.0898,0.0579,0.0204
"258","08029",0.3246,0.2916,0.2859,0.255,0.2046
"259","08031",0.2533,0.269,0.27,0.2353,0.1973
"260","08033",0.364,0.1273,0.2143,0.1598,0.0216
"261","08035",0.971,0.9608,0.95,0.9296,0.8934
"262","08037",0.6696,0.609,0.567,0.4906,0.4243
"263","08039",0.7772,0.652,0.5228,0.4323,0.3791
"264","08041",0.844,0.844,0.8227,0.7927,0.7562
"265","08043",0.0321,0.0363,0.029,0.0379,0.035
"266","08045",0.8863,0.8857,0.8835,0.8714,0.8596
"267","08047",0.034,0.3082,0.1745,0.0309,0.0417
"268","08049",0.1457,0.2305,0.0783,0.0707,0.0738
"269","08051",0.0467,0.0847,0.0678,0.0735,0.0668
"270","08053",0.1206,0.0032,0.0535,0.0261,0.0165
"271","08055",0.0346,0.0315,0.0236,0.0296,0.0312
"272","08057",0.0566,0.1971,0.0564,0.1439,0.0102
"273","08061",0.3739,0.9494,0.9351,0.9592,0.9542
"274","08063",0.343,0.4406,0.4069,0.6581,0.852
"275","08065",0.7246,0.4941,0.1831,0.0446,0.0417
"276","08067",0.1581,0.1617,0.157,0.1506,0.1404
"277","08069",0.2437,0.248,0.2426,0.2254,0.2046
"278","08071",0.2001,0.1687,0.0876,0.0847,0.1165
"279","08073",0.1588,0.0557,0.1882,0.2162,0.2559
"280","08075",0.1266,0.1127,0.177,0.3629,0.1025
"281","08077",0.5273,0.5132,0.4877,0.4502,0.4243
"282","08079",0.0041,3e-04,0.0013,0.001,0.0245
"283","08081",0.8892,0.879,0.8704,0.8819,0.8902
"284","08083",0.5225,0.4982,0.4785,0.504,0.4398
"285","08085",0.69,0.5571,0.4766,0.4502,0.3791
"286","08087",0.9178,0.915,0.9051,0.8965,0.8934
"287","08089",0.7062,0.6619,0.6686,0.6406,0.7562
"288","08091",0.0426,0.0067,0.0076,0.0111,0.0181
"289","08093",0.0782,0.0519,0.0379,0.0605,0.0277
"290","08095",0.7667,0.8446,0.6552,0.8714,0.9383
"291","08097",0.0302,0.0331,0.0296,0.0283,0.0477
