"","fips","2000","2010","2014","2016","2018","2020"
"246","08007",0.1872,0.2617,0.2174,0.2372,0.2608,0.4624
"247","08009",0.5312,0.3553,0.4171,0.5088,0.5634,0.4386
"248","08011",0.7009,0.9265,0.8392,0.8561,0.8701,0.7416
"249","08015",0.1452,0.2557,0.1258,0.1203,0.115,0.3577
"250","08017",0.155,0.2926,0.2537,0.4311,0.5038,0.0573
"251","08019",0.0028,0.0681,0.0551,0.0118,0.001,0.2928
"252","08021",0.8576,0.7838,0.737,0.8777,0.8879,0.8628
"253","08023",0.9729,0.9605,0.9233,0.9456,0.9662,0.9459
"254","08025",0.641,0.802,0.9889,0.9621,0.9519,0.8199
"255","08027",0.1264,0.368,0.4464,0.617,0.4401,0.1795
"256","08029",0.4369,0.4349,0.5575,0.6001,0.6554,0.8227
"257","08031",0.4703,0.4967,0.4021,0.3241,0.278,0.5535
"258","08033",0.5828,0.6641,0.5845,0.4486,0.2809,0.029
"259","08035",0,0.0051,0.0019,0.0022,0.0022,0.0118
"260","08037",0.0576,0.0882,0.0755,0.0764,0.0662,0.4574
"261","08039",0.0044,0.0506,0.0474,0.0277,0.0019,0.0267
"262","08041",0.0828,0.171,0.2225,0.213,0.2379,0.4134
"263","08043",0.2796,0.5941,0.6991,0.6597,0.5847,0.5296
"264","08045",0.0522,0.1691,0.3298,0.2964,0.2131,0.5153
"265","08047",0.0031,0.036,0.0347,0.0073,6e-04,0.0812
"266","08049",0.034,0.0099,0.0691,0.1044,0.149,0.3472
"267","08051",0.3277,0.0624,0.3244,0.3203,0.2631,0.3307
"268","08053",0.0143,0.0121,0.0073,0.1127,0.1303,0.5576
"269","08055",0.7799,0.681,0.723,0.5683,0.393,0.2938
"270","08057",0.3257,0.1512,0.2974,0.2537,0.4134,0.5595
"271","08061",0.2414,0.1691,0.2728,0.2451,0.2185,0.2158
"272","08063",0.3563,0.3028,0.525,0.4518,0.3373,0.4898
"273","08065",0.5442,0.6543,0.1821,0.2194,0.5455,0.5605
"274","08067",0.2554,0.056,0.071,0.0735,0.0503,0.3078
"275","08069",0.085,0.1773,0.1585,0.157,0.1487,0.2877
"276","08071",0.6156,0.6052,0.5479,0.5568,0.6975,0.7909
"277","08073",0.3385,0.5027,0.7081,0.6106,0.4567,0.3511
"278","08075",0.3366,0.3712,0.5976,0.4957,0.4159,0.5843
"279","08077",0.307,0.1761,0.3862,0.4846,0.5287,0.6941
"280","08079",0.0391,0.001,3e-04,0.0048,0.0401,0.5519
"281","08081",0.3821,0.2124,0.2397,0.2003,0.3086,0.7642
"282","08083",0.65,0.4823,0.5113,0.5253,0.5041,0.5824
"283","08085",0.4547,0.3674,0.5762,0.6145,0.6166,0.6283
"284","08087",0.5789,0.6501,0.4941,0.4575,0.5057,0.7384
"285","08089",0.835,0.8131,0.8606,0.8376,0.8882,0.7912
"286","08091",0.0257,0.1028,0.1557,0.0936,0.1006,0.3332
"287","08093",0.0101,0.0223,0.0455,0.0134,0.0809,0.3068
"288","08095",0.3022,0.185,0.5263,0.2174,0.1522,0.5267
"289","08097",0.0232,0.0022,0.0678,0.0388,0.0271,0.1435
"290","08099",0.7302,0.6915,0.8246,0.8469,0.8446,0.8504
"291","08101",0.5566,0.6387,0.6523,0.7131,0.7092,0.7161
"292","08103",0.3439,0.0172,0.2108,0.1834,0.2943,0.5236
"293","08105",0.6878,0.8061,0.6915,0.752,0.8156,0.866
"294","08107",0.0226,0.0067,0.0452,0.0267,0.0325,0.2161
"295","08109",0.891,0.8968,0.8733,0.7953,0.8013,0.936
"296","08111",0.3044,0.2601,0.4645,0.2222,0.0252,0.5878
"297","08113",0.0464,0.0197,0.0309,0.0834,0.0124,0.2919
"298","08115",0.298,0.4954,0.49,0.4629,0.5943,0.7619
"299","08117",0.0439,0.0124,0.1022,0.0621,0.0653,0.3631
"300","08119",0.0452,0.1105,0.1353,0.1258,0.1541,0.2715
"301","08121",0.2035,0.3053,0.2404,0.2022,0.1936,0.1082
"302","08125",0.3955,0.2821,0.2194,0.3508,0.3796,0.4682
"303","09001",0.1025,0.1503,0.2165,0.2286,0.2694,0.5286
"304","09003",0.2828,0.2671,0.306,0.2939,0.3111,0.4102
"305","09005",0.0477,0.0602,0.0968,0.1273,0.1054,0.2403
"306","09007",0.0748,0.0302,0.0318,0.0334,0.0529,0.1458
"307","09009",0.2662,0.2662,0.3196,0.3295,0.3357,0.4879
"308","09011",0.0585,0.079,0.155,0.2098,0.2283,0.275
"309","09013",0.0337,0.0379,0.0681,0.077,0.0806,0.156
"310","09015",0.3617,0.4231,0.3582,0.3744,0.3535,0.4873
"311","10001",0.4124,0.4139,0.4489,0.4737,0.4764,0.6728
"312","10003",0.1557,0.1738,0.2089,0.2292,0.2704,0.3517
"313","10005",0.3197,0.3301,0.3922,0.3805,0.299,0.4341
"314","11001",0.6452,0.4753,0.4161,0.4117,0.4223,0.4488
"315","12001",0.5496,0.4397,0.4865,0.4874,0.5105,0.6372
"316","12003",0.6372,0.702,0.7584,0.7061,0.6102,0.4962
"317","12005",0.3601,0.354,0.4706,0.4721,0.4389,0.62
"318","12007",0.6171,0.8373,0.9054,0.8946,0.8468,0.9211
"319","12009",0.1191,0.242,0.3973,0.3935,0.3197,0.5095
"320","12011",0.2859,0.3531,0.4371,0.4378,0.4232,0.7934
"321","12013",0.8378,0.879,0.9121,0.8201,0.7758,0.7969
"322","12015",0.0726,0.3572,0.4257,0.4257,0.3783,0.6022
"323","12017",0.3611,0.617,0.6488,0.6918,0.6697,0.7167
"324","12019",0.1047,0.2117,0.3505,0.3321,0.3739,0.387
"325","12021",0.1,0.3069,0.3642,0.3095,0.2889,0.6356
"326","12023",0.7168,0.7673,0.8278,0.7765,0.7589,0.8682
"327","12027",0.8318,0.9685,0.9624,0.9452,0.8831,0.9949
"328","12029",0.8538,0.8583,0.7829,0.7695,0.8417,0.6181
"329","12031",0.292,0.4171,0.5123,0.503,0.4704,0.7231
"330","12033",0.492,0.5673,0.553,0.4839,0.4653,0.7244
"331","12035",0.0579,0.3152,0.4852,0.3798,0.3229,0.5341
"332","12037",0.6012,0.8418,0.8593,0.8319,0.8099,0.9717
"333","12039",0.8796,0.9449,0.9465,0.9293,0.9306,0.8415
"334","12041",0.6388,0.8618,0.8876,0.8367,0.7382,0.5611
"335","12043",0.8121,0.8504,0.9589,0.9529,0.908,0.944
"336","12045",0.7047,0.8106,0.8042,0.7507,0.7296,0.4685
"337","12047",0.8926,0.9589,0.9809,0.9822,0.9895,0.9758
"338","12049",0.9818,0.9803,0.9866,0.9745,0.9115,0.9462
"339","12051",0.9656,0.9908,0.9825,0.9631,0.9697,0.9959
"340","12053",0.2729,0.5393,0.695,0.6816,0.6357,0.7941
"341","12055",0.4636,0.795,0.8306,0.8163,0.8213,0.8501
"342","12057",0.3926,0.4266,0.4887,0.468,0.45,0.739
"343","12059",0.8254,0.8857,0.9532,0.9589,0.972,0.9122
"344","12061",0.1066,0.4126,0.4839,0.4543,0.3844,0.6257
"345","12063",0.757,0.8424,0.9118,0.9487,0.9191,0.837
"346","12065",0.5939,0.8233,0.7832,0.738,0.6137,0.6655
"347","12067",0.7238,0.7549,0.9459,0.9147,0.9538,0.9007
"348","12069",0.1646,0.3397,0.5218,0.5021,0.4643,0.6642
"349","12071",0.0964,0.3811,0.5084,0.4833,0.408,0.6798
"350","12073",0.484,0.4664,0.5183,0.5224,0.5022,0.6547
"351","12075",0.7366,0.8494,0.8911,0.8602,0.8064,0.9061
"352","12077",0.6267,0.8841,0.9436,0.8427,0.835,0.8654
"353","12079",0.8305,0.887,0.9258,0.943,0.872,0.9042
"354","12081",0.121,0.375,0.4097,0.3836,0.3443,0.705
"355","12083",0.4433,0.6259,0.7243,0.7246,0.7134,0.8176
"356","12085",0.0541,0.2703,0.3171,0.2897,0.2108,0.4262
"357","12086",0.7665,0.6714,0.7599,0.7284,0.6936,0.929
"358","12087",0.0729,0.084,0.1999,0.1614,0.1048,0.5201
"359","12089",0.2038,0.255,0.319,0.2773,0.164,0.3183
"360","12091",0.0853,0.157,0.2474,0.2308,0.2599,0.4644
"361","12093",0.7207,0.8819,0.9761,0.9704,0.9232,0.8593
"362","12095",0.3417,0.4288,0.5527,0.5412,0.4924,0.8062
"363","12097",0.4732,0.6202,0.7755,0.767,0.7099,0.8657
"364","12099",0.1292,0.341,0.3919,0.3773,0.3723,0.7756
"365","12101",0.2964,0.4581,0.5129,0.4801,0.4774,0.6986
"366","12103",0.1162,0.2783,0.3394,0.3021,0.293,0.591
"367","12105",0.5117,0.6332,0.7542,0.7504,0.722,0.8488
